hour,total_gen_mw,carbon_intensity,season,hour_of_day
2024-01-01 00:00:00,11088.317500000001,305.0669409420092,Winter,0
2024-01-01 01:00:00,11100.385,308.2859637370243,Winter,1
2024-01-01 02:00:00,10632.175,302.0362975672476,Winter,2
2024-01-01 03:00:00,10435.145,301.0289331771627,Winter,3
2024-01-01 04:00:00,10364.3125,298.4180255271675,Winter,4
2024-01-01 05:00:00,10274.1325,296.08897670115084,Winter,5
2024-01-01 06:00:00,10033.609999999999,301.85748393557367,Winter,6
2024-01-01 07:00:00,10046.7775,307.80936077588746,Winter,7
2024-01-01 08:00:00,10076.817500000001,297.9762207088921,Winter,8
2024-01-01 09:00:00,10338.7575,297.8412485006162,Winter,9
2024-01-01 10:00:00,10876.942500000001,307.62125458036235,Winter,10
2024-01-01 11:00:00,11386.505,325.69990385100783,Winter,11
2024-01-01 12:00:00,11705.6325,336.5044335843147,Winter,12
2024-01-01 13:00:00,11854.2025,337.824591663971,Winter,13
2024-01-01 14:00:00,11601.9425,329.7677538382998,Winter,14
2024-01-01 15:00:00,10622.855,312.57607756641085,Winter,15
2024-01-01 16:00:00,10133.71,331.17534662097336,Winter,16
2024-01-01 17:00:00,10682.2925,360.81923230597977,Winter,17
2024-01-01 18:00:00,10232.227499999999,334.22130296472795,Winter,18
2024-01-01 19:00:00,9637.305,330.5230663547911,Winter,19
2024-01-01 20:00:00,9513.24,358.7678590466136,Winter,20
2024-01-01 21:00:00,9433.032500000001,318.3942680837811,Winter,21
2024-01-01 22:00:00,8951.6125,294.2669734013586,Winter,22
2024-01-01 23:00:00,8990.0,286.6078045171867,Winter,23
2024-01-02 00:00:00,8085.6,293.3141240266729,Winter,0
2024-01-02 01:00:00,8088.22,303.243660297398,Winter,1
2024-01-02 02:00:00,8703.592499999999,303.16910462335136,Winter,2
2024-01-02 03:00:00,9095.18,300.6422138084282,Winter,3
2024-01-02 04:00:00,9458.1025,303.48000453799057,Winter,4
2024-01-02 05:00:00,10101.8275,305.97086350929396,Winter,5
2024-01-02 06:00:00,9264.4025,319.21176898063857,Winter,6
2024-01-02 07:00:00,10616.067500000001,304.21297492811937,Winter,7
2024-01-02 08:00:00,11313.7025,310.9417685147035,Winter,8
2024-01-02 09:00:00,10896.8975,310.84317967560537,Winter,9
2024-01-02 10:00:00,10028.4025,335.3713634899933,Winter,10
2024-01-02 11:00:00,10087.435,358.1529480658521,Winter,11
2024-01-02 12:00:00,10276.255000000001,357.60106370084316,Winter,12
2024-01-02 13:00:00,10347.47,357.89925290434763,Winter,13
2024-01-02 14:00:00,10586.05,360.888884066907,Winter,14
2024-01-02 15:00:00,11064.8075,359.09189136169823,Winter,15
2024-01-02 16:00:00,11973.400000000001,358.47445142388847,Winter,16
2024-01-02 17:00:00,12476.407500000001,383.6867719012778,Winter,17
2024-01-02 18:00:00,12355.045,385.06332876774,Winter,18
2024-01-02 19:00:00,11362.79,386.3938233766521,Winter,19
2024-01-02 20:00:00,11081.05,401.62432921938887,Winter,20
2024-01-02 21:00:00,10376.6075,385.86689930629666,Winter,21
2024-01-02 22:00:00,10025.039999999999,396.31722121604844,Winter,22
2024-01-02 23:00:00,9964.975,388.3946238424305,Winter,23
2024-01-03 00:00:00,8542.5875,381.82533033104943,Winter,0
2024-01-03 01:00:00,8800.494999999999,382.6008431787403,Winter,1
2024-01-03 02:00:00,8785.32,364.54771746447597,Winter,2
2024-01-03 03:00:00,9195.2475,325.745497761185,Winter,3
2024-01-03 04:00:00,9380.015,328.9582513691467,Winter,4
2024-01-03 05:00:00,9441.18,326.41515243331565,Winter,5
2024-01-03 06:00:00,10676.3875,311.9390623199468,Winter,6
2024-01-03 07:00:00,11192.17,314.5331031225521,Winter,7
2024-01-03 08:00:00,11818.125,331.8853787820845,Winter,8
2024-01-03 09:00:00,11999.635,335.5732578377965,Winter,9
2024-01-03 10:00:00,12329.615,342.1959252940825,Winter,10
2024-01-03 11:00:00,12877.575,354.6373567608899,Winter,11
2024-01-03 12:00:00,12973.96,352.34424098689936,Winter,12
2024-01-03 13:00:00,12831.007500000002,351.896702281938,Winter,13
2024-01-03 14:00:00,12394.932499999999,353.64961316385137,Winter,14
2024-01-03 15:00:00,11755.3525,366.3529163958491,Winter,15
2024-01-03 16:00:00,11108.2375,377.75709489178513,Winter,16
2024-01-03 17:00:00,11075.1175,403.9419326533674,Winter,17
2024-01-03 18:00:00,10624.1375,417.4778450550634,Winter,18
2024-01-03 19:00:00,10378.752499999999,416.06316568727567,Winter,19
2024-01-03 20:00:00,9547.7575,405.4215784546898,Winter,20
2024-01-03 21:00:00,9333.99,392.9873795075801,Winter,21
2024-01-03 22:00:00,9356.5225,381.71782405084434,Winter,22
2024-01-03 23:00:00,8977.905,367.50116259435754,Winter,23
2024-01-04 00:00:00,8661.682499999999,358.5814197824049,Winter,0
2024-01-04 01:00:00,8353.995,342.0962828965529,Winter,1
2024-01-04 02:00:00,7863.865,335.48626501278284,Winter,2
2024-01-04 03:00:00,7729.2275,326.6528130085485,Winter,3
2024-01-04 04:00:00,7449.7925,344.6768438799884,Winter,4
2024-01-04 05:00:00,7371.1075,372.80584605670987,Winter,5
2024-01-04 06:00:00,7780.5875,408.3271232525335,Winter,6
2024-01-04 07:00:00,8843.279999999999,420.67843143070456,Winter,7
2024-01-04 08:00:00,10023.8325,440.72077747017914,Winter,8
2024-01-04 09:00:00,10768.3775,462.3174625410696,Winter,9
2024-01-04 10:00:00,11578.6525,467.3310955046438,Winter,10
2024-01-04 11:00:00,11949.2675,486.92271790151597,Winter,11
2024-01-04 12:00:00,11949.635,513.22154178395,Winter,12
2024-01-04 13:00:00,11926.175,517.2769332187968,Winter,13
2024-01-04 14:00:00,12537.01,518.0133288505086,Winter,14
2024-01-04 15:00:00,12961.025,523.2667173459529,Winter,15
2024-01-04 16:00:00,13005.445,530.4282089934931,Winter,16
2024-01-04 17:00:00,14260.76,532.9405158179518,Winter,17
2024-01-04 18:00:00,14711.58,525.0223513384697,Winter,18
2024-01-04 19:00:00,14968.87,509.7384481713058,Winter,19
2024-01-04 20:00:00,14897.1125,486.736535836337,Winter,20
2024-01-04 21:00:00,14697.237500000001,467.5066674987475,Winter,21
2024-01-04 22:00:00,13391.3325,448.3069220627565,Winter,22
2024-01-04 23:00:00,11714.39,413.9828567772088,Winter,23
2024-01-05 00:00:00,12083.0425,403.18034857236796,Winter,0
2024-01-05 01:00:00,11811.145,377.82483094018966,Winter,1
2024-01-05 02:00:00,11245.6525,361.83203602966444,Winter,2
2024-01-05 03:00:00,11178.2025,359.6662229210581,Winter,3
2024-01-05 04:00:00,11262.9775,360.92507495898576,Winter,4
2024-01-05 05:00:00,11827.1725,373.4851946046881,Winter,5
2024-01-05 06:00:00,12404.235,401.1448655079561,Winter,6
2024-01-05 07:00:00,13558.3225,431.63759657347117,Winter,7
2024-01-05 08:00:00,13988.150000000001,444.9244204454661,Winter,8
2024-01-05 09:00:00,13895.8525,474.00472366558415,Winter,9
2024-01-05 10:00:00,13798.2025,494.3643839274149,Winter,10
2024-01-05 11:00:00,13422.7775,507.00282108390155,Winter,11
2024-01-05 12:00:00,13143.695,513.2338968898773,Winter,12
2024-01-05 13:00:00,12633.305,505.5199203935834,Winter,13
2024-01-05 14:00:00,12913.26,487.8060614563892,Winter,14
2024-01-05 15:00:00,12702.265,494.2992636296099,Winter,15
2024-01-05 16:00:00,13201.405,470.951051230232,Winter,16
2024-01-05 17:00:00,13452.5125,457.70765760596396,Winter,17
2024-01-05 18:00:00,13691.307499999999,462.7845066552976,Winter,18
2024-01-05 19:00:00,13585.8625,463.3035947558568,Winter,19
2024-01-05 20:00:00,13307.967499999999,458.2466951824481,Winter,20
2024-01-05 21:00:00,12504.6375,446.46827586487024,Winter,21
2024-01-05 22:00:00,11844.16,431.4819675389057,Winter,22
2024-01-05 23:00:00,10740.16,412.85083544063514,Winter,23
2024-01-06 00:00:00,9907.755000000001,388.6638953676939,Winter,0
2024-01-06 01:00:00,9013.852499999999,368.25275886342877,Winter,1
2024-01-06 02:00:00,8559.914999999999,358.4814874523648,Winter,2
2024-01-06 03:00:00,8653.692500000001,348.08731932492293,Winter,3
2024-01-06 04:00:00,8551.205,344.48222825470367,Winter,4
2024-01-06 05:00:00,8545.4475,353.43711047634145,Winter,5
